BULAN;HARI;;;;;A;;;;B;;;;C;;;;D;;;;E
Muharram;2;;29;34;10;29,56944444;29;34;5;29,56805556;35;17;31;35,29194444;31;56;59;31,94972222;1;35;19;1,588611111
Shafar;3;;58;9;11;58,15305556;58;9;0;58,15;57;24;27;57,4075;50;50;4;50,83444444;3;7;28;3,124444444
Rabi'ul Awal;5;;87;43;21;87,7225;87;43;5;87,71805556;92;41;57;92,69916667;82;47;2;82,78388889;4;42;47;4,713055556
Rabi'ul Akhir;6;;116;18;23;116,3063889;116;18;2;116,3005556;114;48;53;114,8147222;101;40;7;101,6686111;6;14;55;6,248611111
Jumadil Awal;1;;145;52;33;145,8758333;145;52;6;145,8683333;150;6;24;150,1066667;133;37;6;133,6183333;7;50;14;7,837222222
Jumadil Akhir;2;;174;27;34;174,4594444;174;27;2;174,4505556;172;13;20;172,2222222;152;30;11;152,5030556;9;22;22;9,372777778
Rajab;4;;204;1;44;204,0288889;204;1;8;204,0188889;207;30;51;207,5141667;184;27;10;184,4527778;10;57;42;10,96166667
Sya'ban;5;;232;36;46;232,6127778;232;36;4;232,6011111;229;37;46;229,6294444;203;20;14;203,3372222;12;29;51;12,4975
Ramadhan;7;;262;10;56;262,1822222;262;10;8;262,1688889;264;55;17;264,9213889;235;17;13;235,2869444;14;5;10;14,08611111
Syawal;1;;290;45;57;290,7658333;290;45;4;290,7511111;287;2;13;287,0369444;254;10;18;254,1716667;15;37;18;15,62166667
Dzul Qo'dah;3;;320;20;7;320,3352778;320;19;9;320,3191667;322;19;44;322,3288889;286;7;17;286,1213889;17;12;37;17,21027778
Dzul Hijjah B;4;;348;55;9;348,9191667;348;54;5;348,9013889;344;26;40;344,4444444;305;0;22;305,0061111;18;44;46;18,74611111
Dzul Hijjah K;5;;349;54;17;349,9047222;349;53;14;349,8872222;357;37;15;357,6208333;318;4;16;318,0711111;18;47;57;18,79916667
